StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,QID83,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,G1_First Click,G1_Last Click,G1_Page Submit,G1_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Passcode_static,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Passcode_improv,PostQues_1,PostQues_2,PostQues_3,PostQues_4,PostQues_5,PostQues_6,PostQues_7,attention_check_1,PostQues_8,PostQues_9,PostQues_10,PostQues_11,PostQues_12,PostQues_13,PostQues_14,PostQues_15,PostQues_16,attention_check_2,PostQues_17,PostQues_18,PostQues_19,PostQues_20,PostQues_21,PostQues_22,PostQues_23,PostQues_24,attention_check_3,PostQues_25,DemModQues_age,DemModQues_education,DemModQues_gender,DemModQues_gender_5_TEXT,DemModQues_AI,DemModQues_Chatbot,attitude/trust in ai_1,attitude/trust in ai_2,attitude/trust in ai_3,attitude/trust in ai_4,attitude/trust in ai_5,attitude/trust in ai_6,attitude/trust in ai_7,attitude/trust in ai_8,attitude/trust in ai_9,attitude/trust in ai_10,attitude/trust in ai_11,DemModQues_personal,DemModQues_interest,Exp_condition,Qualtrics_code
2025-03-31 07:12:17,2025-03-31 07:15:01,IP Address,*******,8,163,False,2025-04-07 07:15:03,R_4ZDFBrUvxDY9EqJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,3.31 21.12,12.853,140.913,141.988,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31 23:02:19,2025-04-01 11:17:28,IP Address,*******,19,44108,False,2025-04-08 11:17:31,R_9H1NWdDCMvVt5Id,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,zxh,79.546,79.546,221.674,1,5.08,5.08,213.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02 05:03:09,2025-04-02 05:42:13,IP Address,*******,2,2344,False,2025-04-09 05:42:18,R_9TSgJtx4X2evW0x,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-09 15:14:55,2025-04-09 15:47:28,IP Address,*******,100,1952,True,2025-04-09 15:47:29,R_6OqCHpoq04AlKM5,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yi ju 11,0,0,231.711,0,0,0,300.228,0,,,,,,330.274,807.521,834.669,6,9560,Yes,Probably not,Probably yes,Yes,Uncertain if yes or no,Definitely yes,Definitely not,Probably not,Probably yes,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Probably not,Probably yes,Probably not,Uncertain if yes or no,No,Yes,Definitely yes,Definitely yes,Probably not,Probably yes,Probably not,Probably not,No,No,Definitely not,No,26,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,4,5,6,4,6,6,6,5,4,3,4,4,3,No,3,chatbot,
2025-04-10 03:08:45,2025-04-10 03:27:11,IP Address,*******,100,1105,True,2025-04-10 03:27:12,R_2CHg8s77VpI6jzc,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/10 11:09,1.451,1.451,172.156,1,0,0,300.015,0,,,,,,,,,,,Probably yes,Uncertain if yes or no,No,Yes,Yes,Yes,No,Probably not,Yes,No,Yes,No,Uncertain if yes or no,Yes,Probably not,Yes,No,Yes,Yes,Yes,No,No,Uncertain if yes or no,Uncertain if yes or no,No,Yes,Definitely not,Uncertain if yes or no,24,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,5,6,5,6,4,5,5,4,3,4,4,4,Yes,3,none,
2025-04-10 08:26:59,2025-04-10 08:49:01,IP Address,*******,100,1321,True,2025-04-10 08:49:02,R_45aG6VQe5F1dPsR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju13,0,0,174.589,0,165.946,165.946,300.2,1,14.804,14.804,500.343,1,9560,,,,,,Yes,Yes,No,Yes,No,Yes,No,Probably not,Yes,No,Probably not,No,Probably not,Probably yes,Probably not,Yes,No,Yes,Probably yes,Yes,No,Yes,No,Yes,No,No,Definitely not,No,27,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,3,5,7 (strongly agree),6,5,7 (strongly agree),7 (strongly agree),4,4,2,5,4,4,No,6,static-chatbot,
2025-04-10 08:27:17,2025-04-10 08:50:22,IP Address,*******,100,1384,True,2025-04-10 08:50:22,R_9MFIbUneqhaWFUJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju13,0,0,176.297,0,152.574,152.574,300.148,1,549.104,549.104,550.654,1,9560,,,,,,No,Yes,No,No,No,Probably yes,Uncertain if yes or no,Probably not,Yes,No,No,Probably not,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Probably not,Probably not,No,No,Definitely not,No,24,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,7-Very Familiar,7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),5,2,6,6,6,Yes,7-Very interested,static-chatbot,
2025-04-11 16:15:41,2025-04-11 16:51:02,IP Address,*******,100,2121,True,2025-04-11 16:51:03,R_83K0z4elDHwiNuV,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju15,0,0,188.429,0,202.696,202.696,300.128,1,,,,,,91.438,1063.971,1079.494,3,9560,Definitely yes,Definitely yes,Yes,Yes,Yes,Definitely yes,No,Probably not,Definitely yes,No,Yes,Probably not,Yes,Uncertain if yes or no,Probably not,Yes,Probably not,Yes,Definitely yes,Yes,Probably not,No,No,No,Probably not,Probably not,Definitely not,No,26,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,5,4,7 (strongly agree),4,3,7 (strongly agree),5,1 (strongly disagree),2,2,2,2,6,No,6,chatbot,
2025-04-12 05:03:12,2025-04-12 05:25:18,IP Address,*******,100,1326,True,2025-04-12 05:25:19,R_4kUpHInT4fXObxN,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju16,0,0,268.599,0,0,0,300.022,0,,,,,,,,,,,Yes,Definitely yes,Uncertain if yes or no,Probably not,Definitely yes,Yes,Probably yes,Probably not,Yes,Yes,Probably not,Yes,Uncertain if yes or no,Yes,Probably not,Yes,Yes,Yes,Probably yes,Probably yes,Uncertain if yes or no,Probably not,Uncertain if yes or no,Probably not,No,Probably yes,Definitely not,Probably not,25,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,4,2,6,6,5,3,5,3,4,1 (strongly disagree),4,3,3,No,6,none,
2025-03-31 23:05:07,2025-04-05 07:16:05,IP Address,*******,4,375058,False,2025-04-12 07:16:06,R_9n1RBLCxNGkAMhR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
